time bd_pulse
1.045795099999999934e-09 -6.610000000000000128e-09
1.049711934999999921e-09 -5.470000000000000343e-09
1.053628770999999850e-09 -4.480000000000000246e-09
1.057545606999999986e-09 -3.639999999999999838e-09
1.061462441999999973e-09 -2.919999999999999843e-09
1.065379277999999902e-09 -2.319999999999999847e-09
1.069296113000000096e-09 -1.830000000000000091e-09
1.073212949000000025e-09 -1.430000000000000025e-09
1.077129784000000011e-09 -1.109999999999999889e-09
1.081046619999999941e-09 -8.520000000000000564e-10
1.084963455999999870e-09 -6.479999999999999337e-10
1.088880290999999856e-09 -4.879999999999999692e-10
1.092797126999999992e-09 -3.639999999999999838e-10
1.096713961999999979e-09 -2.690000000000000017e-10
1.100630798000000115e-09 -1.959999999999999952e-10
1.104547634000000044e-09 -1.410000000000000042e-10
1.108464469000000031e-09 -9.989999999999999882e-11
1.112381304999999960e-09 -6.959999999999999747e-11
1.116298139999999947e-09 -4.750000000000000399e-11
1.120214975999999876e-09 -3.159999999999999945e-11
1.124131811000000069e-09 -2.029999999999999711e-11
1.128048646999999998e-09 -1.240000000000000048e-11
1.131965482999999928e-09 -7.020000000000001188e-12
1.135882317999999914e-09 -3.450000000000000042e-12
1.139799154000000050e-09 -1.159999999999999904e-12
1.143715989000000244e-09 2.469999999999999573e-13
1.147632825000000173e-09 1.040000000000000213e-12
1.151549659999999953e-09 1.430000000000000167e-12
1.155466495999999882e-09 1.560000000000000017e-12
1.159383332000000018e-09 1.529999999999999943e-12
1.163300167000000004e-09 1.409999999999999848e-12
1.167217002999999934e-09 1.250000000000000126e-12
1.171133838000000127e-09 1.070000000000000086e-12
1.175050674000000056e-09 9.019999999999999936e-13
1.178967510000000192e-09 7.420000000000000695e-13
1.182884344999999972e-09 6.009999999999999635e-13
1.186801180999999901e-09 4.799999999999999742e-13
1.190718015999999888e-09 3.780000000000000049e-13
1.194634852000000024e-09 2.949999999999999547e-13
1.198551687000000011e-09 2.270000000000000172e-13
1.202468523000000146e-09 1.739999999999999906e-13
1.206385359000000076e-09 1.310000000000000224e-13
1.210302194000000062e-09 9.859999999999999133e-14
1.214219029999999991e-09 7.330000000000000069e-14
1.218135864999999978e-09 5.389999999999999626e-14
1.222052700999999907e-09 3.940000000000000125e-14
1.225969536000000101e-09 2.850000000000000478e-14
1.229886372000000030e-09 2.040000000000000017e-14
1.233803207999999959e-09 1.449999999999999817e-14
1.237720042999999946e-09 1.020000000000000008e-14
1.241636879000000082e-09 7.049999999999999779e-15
1.245553714000000068e-09 4.829999999999999993e-15
1.249470549999999998e-09 3.269999999999999493e-15
1.253387385999999927e-09 2.169999999999999762e-15
1.257304220999999913e-09 1.419999999999999803e-15
1.261221057000000049e-09 9.039999999999998983e-16
1.265137892000000036e-09 5.589999999999999129e-16
1.269054727999999965e-09 3.320000000000000207e-16
1.272971562999999952e-09 1.860000000000000148e-16
1.276888398999999881e-09 9.350000000000000322e-17
1.280805235000000017e-09 3.770000000000000123e-17
1.284722070000000004e-09 5.500000000000000008e-18
1.288638905999999933e-09 -1.169999999999999937e-17
1.292555740999999919e-09 -1.949999999999999947e-17
1.296472577000000055e-09 -2.189999999999999902e-17
1.300389412999999985e-09 -2.120000000000000121e-17
1.304306247999999971e-09 -1.900000000000000059e-17
1.308223083999999900e-09 -1.620000000000000008e-17
1.312139919000000094e-09 -1.339999999999999957e-17
1.316056755000000023e-09 -1.070000000000000007e-17
1.319973590000000010e-09 -8.430000000000000595e-18
1.323890425999999939e-09 -6.510000000000000027e-18
1.327807262000000075e-09 -4.950000000000000624e-18
1.331724096999999855e-09 -3.720000000000000235e-18
1.335640932999999784e-09 -2.760000000000000336e-18
1.339557767999999977e-09 -2.020000000000000037e-18
1.343474604000000113e-09 -1.470000000000000074e-18
1.347391439000000100e-09 -1.059999999999999945e-18
1.351308275000000029e-09 -7.539999999999999939e-19
1.355225110999999958e-09 -5.329999999999999757e-19
1.359141945999999945e-09 -3.730000000000000086e-19
1.363058781999999874e-09 -2.589999999999999796e-19
1.366975616999999861e-09 -1.780000000000000110e-19
1.370892453000000203e-09 -1.209999999999999965e-19
1.374809289000000133e-09 -8.179999999999999518e-20
1.378726124000000119e-09 -5.460000000000000703e-20
1.382642960000000048e-09 -3.609999999999999472e-20
1.386559794999999828e-09 -2.360000000000000105e-20
1.390476630999999758e-09 -1.519999999999999905e-20
1.394393465999999951e-09 -9.630000000000000108e-21
1.398310301999999880e-09 -6.010000000000000454e-21
1.402227138000000223e-09 -3.670000000000000562e-21
1.406143973000000003e-09 -2.179999999999999923e-21
1.410060808999999932e-09 -1.250000000000000120e-21
1.413977644000000125e-09 -6.840000000000000323e-22
1.417894480000000055e-09 -3.449999999999999709e-22
1.421811315000000041e-09 -1.499999999999999955e-22
1.425728150999999970e-09 -4.330000000000000156e-23
1.429644986999999900e-09 1.110000000000000163e-23
1.433561821999999886e-09 3.520000000000000025e-23
1.437478658000000022e-09 4.249999999999999795e-23
1.441395493000000216e-09 4.120000000000000384e-23
1.445312329000000145e-09 3.609999999999999844e-23
1.449229165000000074e-09 2.979999999999999350e-23
1.453145999999999854e-09 2.359999999999999783e-23
1.457062835999999990e-09 1.810000000000000238e-23
1.460979670999999976e-09 1.359999999999999970e-23
1.464896506999999906e-09 1.000000000000000107e-23
1.468813341999999892e-09 7.260000000000000750e-24
1.472730178000000235e-09 5.190000000000000366e-24
1.476647014000000164e-09 3.670000000000000262e-24
1.480563849000000151e-09 2.559999999999999731e-24
1.484480685000000080e-09 1.769999999999999764e-24
1.488397519999999860e-09 1.209999999999999880e-24
1.492314355999999789e-09 8.199999999999999742e-25
1.496231190999999983e-09 5.510000000000000011e-25
1.500148026999999912e-09 3.670000000000000170e-25
1.504064863000000254e-09 2.420000000000000495e-25
1.507981698000000034e-09 1.579999999999999889e-25
1.511898533999999963e-09 1.019999999999999982e-25
1.515815368999999950e-09 6.569999999999999765e-26
1.519732204999999879e-09 4.170000000000000821e-26
1.523649040999999808e-09 2.620000000000000043e-26
1.527565876000000002e-09 1.630000000000000264e-26
1.531482711999999931e-09 9.999999999999998950e-27
1.535399546999999918e-09 6.059999999999999631e-27
1.539316383000000054e-09 3.609999999999999393e-27
1.543233218000000040e-09 2.110000000000000053e-27
1.547150053999999970e-09 1.199999999999999831e-27
1.551066889999999899e-09 6.659999999999998649e-28
1.554983725000000092e-09 3.530000000000000014e-28
1.558900561000000021e-09 1.760000000000000147e-28
1.562817396000000008e-09 7.889999999999999256e-29
1.566734231999999937e-09 2.789999999999999952e-29
1.570651068000000073e-09 2.990000000000000319e-30
1.574567903000000060e-09 -7.779999999999998687e-30
1.578484738999999989e-09 -1.119999999999999953e-29
1.582401574000000182e-09 -1.109999999999999952e-29
1.586318410000000112e-09 -9.629999999999998841e-30
1.590235244999999891e-09 -7.709999999999999521e-30
1.594152080999999821e-09 -5.879999999999999229e-30
1.598068916999999957e-09 -4.329999999999999100e-30
