time bd_pulse
4.162304551031960848e-10 -1.418050810911329895e-01
4.236631418014670161e-10 -1.325311649085610111e-01
4.310958284997379990e-10 -1.192089266348979881e-01
4.385285151980100159e-10 -1.015424310399720004e-01
4.459612018962809988e-10 -7.929777138686290583e-02
4.533938885945519817e-10 -5.231637137488490130e-02
4.608265752928239986e-10 -2.052761697815289402e-02
4.682592619910949815e-10 1.603964979408399952e-02
4.756919486893660678e-10 5.724725212107070055e-02
4.831246353876378779e-10 1.028398836473970041e-01
4.905573220859090677e-10 1.524398409859880066e-01
4.979900087841810846e-10 2.055446820200370062e-01
5.054226954824519641e-10 2.615281453641159493e-01
5.128553821807229470e-10 3.196445854061329972e-01
5.202880688789950673e-10 3.790370803956339962e-01
5.277207555772659468e-10 4.387492605910540133e-01
5.351534422755370331e-10 4.977407828123769917e-01
5.425861289738089466e-10 5.549062508235209634e-01
5.500188156720799295e-10 6.090972522933890687e-01
5.574515023703511193e-10 6.591470575423280520e-01
5.648841890686229294e-10 7.038974079493900415e-01
5.723168757668940157e-10 7.422267178321010350e-01
5.797495624651651020e-10 7.730789276247159725e-01
5.871822491634371189e-10 7.954921826104860427e-01
5.946149358617079984e-10 8.086264739553480352e-01
6.020476225599789813e-10 8.117893701048579658e-01
6.094803092582508948e-10 8.044589884515499500e-01
6.169129959565220845e-10 7.863034100887739131e-01
6.243456826547929640e-10 7.571958237218240351e-01
6.317783693530649809e-10 7.172247964197649983e-01
6.392110560513360673e-10 6.666992056418750145e-01
6.466437427496078774e-10 6.061475245059589900e-01
6.540764294478790671e-10 5.363113252438760359e-01
6.615091161461500500e-10 4.581330480939679872e-01
6.689418028444220669e-10 3.727382678555919981e-01
6.763744895426930498e-10 2.814128710611730200e-01
6.838071762409640327e-10 1.855757263205189689e-01
6.912398629392360496e-10 8.674758230454590602e-02
6.986725496375070325e-10 -1.348294387945199978e-02
7.061052363357779121e-10 -1.134953255713409964e-01
7.135379230340500323e-10 -2.116740033951820255e-01
7.209706097323208085e-10 -3.064451191004359809e-01
7.284032964305921016e-10 -3.963120503907949788e-01
7.358359831288640151e-10 -4.798887320361759912e-01
7.432686698271349980e-10 -5.559298246042789771e-01
7.507013565254058775e-10 -6.233568998884030377e-01
7.581340432236781012e-10 -6.812799472770679765e-01
7.655667299219490841e-10 -7.290136625877049470e-01
7.729994166202199636e-10 -7.660881541385119453e-01
7.804321033184919805e-10 -7.922538833859249507e-01
7.878647900167628601e-10 -8.074808423869058727e-01
7.952974767150350838e-10 -8.119521507809089877e-01
8.027301634133058599e-10 -8.060524243889629625e-01
8.101628501115770496e-10 -7.903514199655520267e-01
8.175955368098490665e-10 -7.655835910209439765e-01
8.250282235081199460e-10 -7.326242938942059135e-01
8.324609102063909289e-10 -6.924634585044030510e-01
8.398935969046630492e-10 -6.461775827910569703e-01
8.473262836029340321e-10 -5.949009233974569266e-01
8.547589703012049117e-10 -5.397967385095510107e-01
8.621916569994769286e-10 -4.820293939441359643e-01
8.696243436977479115e-10 -4.227380735985840077e-01
8.770570303960191012e-10 -3.630127440836959374e-01
8.844897170942908079e-10 -3.038729152472340322e-01
8.919224037925619976e-10 -2.462496182576419668e-01
8.993550904908330839e-10 -1.909708960391749977e-01
9.067877771891049974e-10 -1.387509721780089966e-01
9.142204638873759803e-10 -9.018313875465129581e-02
9.216531505856479972e-10 -4.573628527220729989e-02
9.290858372839189801e-10 -5.754883730007519411e-03
9.365185239821899631e-10 2.953784797653980290e-02
9.439512106804619800e-10 6.003395846024710270e-02
9.513838973787327561e-10 8.573236344791880514e-02
9.588165840770041526e-10 1.067284865386860099e-01
9.662492707752757559e-10 1.232024130199489975e-01
9.736819574735469456e-10 1.354060328274500069e-01
9.811146441718181353e-10 1.436496355927359969e-01
9.885473308700899454e-10 1.482883932079450129e-01
9.959800175683609283e-10 1.497091257905809880e-01
1.003412704266629843e-09 1.483176979356430059e-01
1.010845390964899999e-09 1.445273364047480191e-01
1.018278077663180081e-09 1.387481006234820013e-01
1.025710764361450030e-09 1.313776761257220149e-01
1.033143451059719979e-09 1.227936007730570100e-01
1.040576137757990135e-09 1.133469762778160084e-01
1.048008824456259877e-09 1.033576650155149934e-01
1.055441511154530032e-09 9.311092569479909042e-02
1.062874197852799981e-09 8.285540213534879628e-02
1.070306884551069930e-09 7.280234777352678766e-02
1.077739571249350012e-09 6.312594479043820428e-02
1.085172257947619961e-09 5.396456082296199885e-02
1.092604944645890117e-09 4.542277767187620496e-02
1.100037631344159859e-09 3.757402462284960276e-02
1.107470318042429808e-09 3.046365312581169812e-02
1.114903004740699964e-09 2.411229869272049978e-02
1.122335691438969913e-09 1.851938896139300114e-02
1.129768378137249788e-09 1.366667290475589991e-02
1.137201064835520150e-09 9.521664139077689465e-03
1.144633751533790099e-09 6.040910264982580179e-03
1.152066438232060048e-09 3.173019319626529684e-03
1.159499124930330204e-09 8.613930017209750446e-04
1.166931811628599946e-09 -9.533662432355110303e-04
1.174364498326869895e-09 -2.331391383485649851e-03
1.181797185025139844e-09 -3.331833453174610441e-03
1.189229871723419926e-09 -4.011482228991620179e-03
1.196662558421689875e-09 -4.423706982986349776e-03
1.204095245119960031e-09 -4.617692097701679710e-03
1.211527931818229980e-09 -4.637937179288119903e-03
1.218960618516500135e-09 -4.523988101901089617e-03
1.226393305214769877e-09 -4.310363946888930327e-03
1.233825991913039826e-09 -4.026644816020060781e-03
1.241258678611319908e-09 -3.697686736355370284e-03
1.248691365309590064e-09 -3.343932070238829924e-03
1.256124052007860013e-09 -2.981786741411860016e-03
1.263556738706129962e-09 -2.624038949915369866e-03
1.270989425404399911e-09 -2.280297661671610004e-03
1.278422112102670067e-09 -1.957432840216540276e-03
1.285854798800939809e-09 -1.660002986402510069e-03
1.293287485499220097e-09 -1.390658947538129901e-03
1.300720172197490046e-09 -1.150516061976919989e-03
1.308152858895759995e-09 -9.394894590717640590e-04
1.315585545594029944e-09 -7.565897039240770169e-04
1.323018232292300100e-09 -6.001779498847659199e-04
1.330450918990570049e-09 -4.681813459743560117e-04
1.337883605688840205e-09 -3.582706622589240208e-04
1.345316292387109947e-09 -2.680029752393219564e-04
1.352748979085390029e-09 -1.949328359909149855e-04
1.360181665783659771e-09 -1.366956685564230231e-04
1.367614352481929927e-09 -9.106725865659698251e-05
1.375047039180200082e-09 -5.600313599915140615e-05
1.382479725878470031e-09 -2.966146768665189730e-05
1.389912412576740187e-09 -1.041280211055779988e-05
1.397345099275009929e-09 3.160335520134860499e-06
1.404777785973290011e-09 1.227136587149330047e-05
1.412210472671560167e-09 1.794284760256920197e-05
1.419643159369830116e-09 2.102306416828089982e-05
1.427075846068100065e-09 2.220448414228700022e-05
1.434508532766370220e-09 2.204289779089800075e-05
1.441941219464639963e-09 2.097632109882450135e-05
1.449373906162909912e-09 1.934300862792979927e-05
1.456806592861180067e-09 1.739812793542430054e-05
1.464239279559460149e-09 1.532882202192530031e-05
1.471671966257730305e-09 1.326752494560220039e-05
1.479104652955999840e-09 1.130350270785440048e-05
1.486537339654269996e-09 9.492670664057490740e-06
1.493970026352539945e-09 7.865794111800821010e-06
1.501402713050810101e-09 6.435214394947520848e-06
1.508835399749080050e-09 5.200262663466100822e-06
1.516268086447360132e-09 4.151530848944589190e-06
1.523700773145629874e-09 3.274167557913059881e-06
1.531133459843899823e-09 2.550358119581569838e-06
1.538566146542169978e-09 1.961135181963049977e-06
1.545998833240439927e-09 1.487650838511499830e-06
1.553431519938710083e-09 1.112024703820969996e-06
1.560864206636979825e-09 8.178657107362850368e-07
1.568296893335260114e-09 5.905494404999089831e-07
1.575729580033530063e-09 4.173180380404539864e-07
1.583162266731800219e-09 2.872565169353199926e-07
1.590594953430070168e-09 1.911876726889960074e-07
1.598027640128340116e-09 1.215179268753399806e-07
1.605460326826609859e-09 7.205815897964320772e-08
1.612893013524879808e-09 3.783682906903010645e-08
1.620325700223149963e-09 1.491729856682359854e-08
1.627758386921429838e-09 2.270466536620200000e-10
1.635191073619700201e-09 -8.596719513525090310e-09
1.642623760317969943e-09 -1.334292128165979993e-08
1.650056447016239892e-09 -1.534346763353499786e-08
1.657489133714509841e-09 -1.557178604226780105e-08
1.664921820412779997e-09 -1.472440756230889923e-08
1.672354507111050152e-09 -1.328738638214249991e-08
1.679787193809330028e-09 -1.158950196928400118e-08
1.687219880507599976e-09 -9.844199350227521179e-09
1.694652567205870132e-09 -8.182124502030850885e-09
1.702085253904140081e-09 -6.675949016758230031e-09
1.709517940602409823e-09 -5.358982111331620297e-09
1.716950627300679979e-09 -4.238860860365350049e-09
1.724383313998949721e-09 -3.307406361800589981e-09
1.731816000697219877e-09 -2.547544071955569748e-09
1.739248687395499959e-09 -1.938016310036399872e-09
1.746681374093770115e-09 -1.456466464651479967e-09
1.754114060792040064e-09 -1.081348162568510021e-09
1.761546747490310219e-09 -7.930076144280479913e-10
1.768979434188580375e-09 -5.742017152225880277e-10
1.776412120886849910e-09 -4.102459849851760518e-10
1.783844807585120066e-09 -2.889326653933229706e-10
1.791277494283399734e-09 -2.003178568969189847e-10
1.798710180981670097e-09 -1.364452666718830089e-10
1.806142867679939839e-09 -9.105095093411560509e-11
1.813575554378209995e-09 -5.927665080668190675e-11
1.821008241076479944e-09 -3.740748260285379648e-11
1.828440927774749893e-09 -2.264165030449670076e-11
1.835873614473020048e-09 -1.289453152328230095e-11
1.843306301171299924e-09 -6.636182958282210697e-12
1.850738987869569872e-09 -2.759424782618630204e-12
1.858171674567840028e-09 -4.747462257157910429e-13
1.865604361266110184e-09 7.720064256788139914e-13
1.873037047964379926e-09 1.363084518239469889e-12
1.880469734662650082e-09 1.557021319986099971e-12
1.887902421360919824e-09 1.524686178234859879e-12
1.895335108059189980e-09 1.375869769289630075e-12
1.902767794757470062e-09 1.178597175761109997e-12
1.910200481455740217e-09 9.729421635087438576e-13
1.917633168154009960e-09 7.807464420800410356e-13
1.925065854852280115e-09 6.123354675863460063e-13
1.932498541550550271e-09 4.710655009777469301e-13
1.939931228248820013e-09 3.563300651392570117e-13
1.947363914947090169e-09 2.654910938432870182e-13
1.954796601645370251e-09 1.950740013605799906e-13
1.962229288343639993e-09 1.414699724570500111e-13
1.969661975041909735e-09 1.013169726284560051e-13
1.977094661740179891e-09 7.167811103120320664e-14
1.984527348438450047e-09 5.009770234416229786e-14
1.991960035136719789e-09 3.458812178653180116e-14
1.999392721834989944e-09 2.358150424626429980e-14
2.006825408533259687e-09 1.586729897565579967e-14
2.014258095231539769e-09 1.052796718399430123e-14
2.021690781929810338e-09 6.879431359710870249e-15
2.029123468628080080e-09 4.419314086794160466e-15
2.036556155326350236e-09 2.783859431723080025e-15
2.043988842024620391e-09 1.713226246633479998e-15
2.051421528722889720e-09 1.024240637584240028e-15
2.058854215421159876e-09 5.894621907755179321e-16
2.066286902119439958e-09 3.214002585398180294e-16
2.073719588817709700e-09 1.608120534953449949e-16
2.081152275515980269e-09 6.816050700234950351e-17
2.088584962214250011e-09 1.746927826043740031e-17
2.096017648912519753e-09 -8.035857207837119691e-18
2.103450335610789909e-09 -1.897592207598829870e-17
2.110883022309060065e-09 -2.192197864091910135e-17
